V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
''32'',"0,0189","-0,000573682","-0,002418077","-0,022107813","-0,001964637","0,011222323","-0,009384615","0,046875","0,090051121"
''33'',"0,0064","0,007543947","0,008761055","0,003169811","0,03047619","0,01109778","-0,019607843","0,032492139","0,145497312"
''34'',"-0,0109","-0,009918781","-0,000496155","-0,025621178","-0,040634291","-0,01030303","-0,030011714","-0,000241935","-0,018132056"
''35'',"0,0505","0,003794931","0,034953316","0,021287879","0,008353808","0,025398701","0,028413328","-0,03217214","-0,004467354"
''36'',"-0,015","0,032825485","0,013384773","-0,000227324","0,012135922","-0,010746269","-0,011150794","0,012372575","0,209024191"
''37'',"-0,0011","0,02075139","-0,007855896","0,000227273","-0,001215067","-0,037151703","0,034223738","-0,18252078","-0,063909774"
''38'',"-0,0109","0,042156544","0,003794466","-0,01961996","0,042355131","0,043246445","-0,001996851","0,015787208","-0,057492355"
''39'',"0,0217","-0,003454569","0,020897833","-0,009907169","0,00116225","0,035428571","0,045627794","0,030518065","0,01535682"
''40'',"-0,0082","0,050266188","-0,038752211","-0,01835081","0,016685714","0,061158798","-0,021411994","0,001805556","-0,012808783"
''41'',"0,0323","0,017993921","0,021015348","0,01371151","-0,025791325","-0,028981507","-0,000262104","0,023508137","-0,111525424"
''42'',"-0,0063","0,01708891","0,032515991","0,0129157","0,05327414","0,01548913","-0,004929259","0,011043054","0,086687307"
''43'',"0,0257","0,020025764","0,023643123","0,066156291","0,014223195","0,021536825","0,023551457","-0,021790772","0,142326075"
''44'',"0,0133","0,000234165","0,012916483","0,000865926","0,009321483","-0,048216276","-0,01238655","0,022811482","0,010249671"
''45'',"0,0071","0,029376669","0,022525108","0,004454023","0,018510638","0,026851098","0,023678094","-0,001654445","-0,051395413"
''46'',"0,0065","0,019390427","0,005422374","-0,036408309","0,012397563","-0,002992383","-0,015863646","0,018304728","0,04662803"
''47'',"-0,0083","0,002390217","-0,021946774","0,002525065","-0,005705833","-0,035492958","0,00371228","-0,007696731","-0,00529661"
''48'',"0,013","-0,020882987","-0,017131415","-0,016226415","-0,021148036","-0,043197179","-0,012805718","-0,024146054","-0,009625668"
''49'',"0,0149","0,042282609","0,027829849","0,011710301","0,045520082","-0,003834808","0,017806216","0,005675676","-0,049382716"
''50'',"-0,0113","-0,00711549","-0,023314151","-0,014528944","0,009183673","0,058333333","-0,010941081","-0,070808412","-0,005359661"
''51'',"0,021","-0,010285335","0,020947703","0,009815675","0,004065041","0,019073569","0,033785714","0,053160395","-0,020143885"
''52'',"0,0034","0,005006878","0,02746751","0,031986654","0,002837454","-0,000545256","0,010775481","0,014492754","0,026610644"
''53'',"-0,0492","0,003345032","-0,067091454","-0,040528302","0,008241206","-0,014661134","-0,049888724","0,004480688","-0,04845815"
''54'',"0,002","0,041723594","0,009651076","0,018954539","0,024127109","0,028225806","0,005166052","-0,026114943","0,06456044"
''55'',"0,0063","-0,041769311","-0,003725782","-0,01556508","-0,000196194","0,001878186","-0,007847075","-0,002304147","-0,047783535"
''56'',"0,006","-0,009282281","0,012000294","0,006499328","-0,006317868","0,007192328","0,020437158","0,022082019","-0,037634409"
''57'',"0,0056","-0,055827791","-0,016159198","-0,006466165","-0,034095549","-0,011859838","-0,020104798","0,011581292","0,063496503"
''58'',"0,0249","0,02878187","0,014741653","0,042269749","0,033925049","0,00802139","0,038929962","-0,051276048","0,080976864"
''59'',"-0,0069","0,004231312","-0,018314193","-0,034798808","-0,003960396","0,001068376","-0,003584358","-0,053215624","0,019657258"
''60'',"0,0029","0,003261542","0,03267262","0,046129789","-0,008789453","-0,014909189","-0,003380687","-0,024195585","0,010473815"
''61'',"-0,0003","-0,004689266","-0,003862974","0,02413817","0,007927071","-0,032176833","0,010674257","0,00642409","-0,092643052"
''62'',"-0,0101","-0,020643524","0,005797101","0,036618777","-0,019599919","-0,01562944","0,021481791","-0,001256281","-0,049771167"
''63'',"-0,0039","-0,014389331","-0,002906977","-0,026265259","-0,018312757","-0,006578947","-0,027069551","-0,016914508","-0,020729927"
''64'',"0,0072","0,027752502","0,004845592","0,001984806","0,018776499","0,030235784","3,58E-05","0,026660035","-0,035368803"
''65'',"0,016","-0,036731325","0,014468995","-0,02124834",0,"-0,012640449","-0,001002219","-0,023884702","-0,03796674"
''66'',"0,0064","-0,021623901","-0,024237115","0,043713656","-0,007526444",0,"-0,004964029","0,031994084","0,038612368"
''67'',"-0,005","0,023411765","-0,000584368","-0,005781513","0,037211124","0,018743109","0,004333656","0,018626028","-0,024096386"
''68'',"0,0038","0,013921114","0,015107914","-0,021003501","0,007580175","0,016802168","0,017454341","-0,012738854","0,033154122"
''69'',"-0,0073","0,020009095","0,017667845","0,001576206","-0,000972763",0,"0,016508618","-0,002012863","0,069741595"
''70'',"0,0151","0,02021721","0,010143407","0,006603581","0,011918493","0,016","0,008101613","0,017035035","-0,064792899"
''71'',"0,0141","0,026354319","0,016985284","0,020080053","-0,000577034","0,015748031","0,057281553","0,0137547","0,039772727"
''72'',"0,0098","0,003027518","-0,001101473","-0,013248614","0,038112858","0,0078125","-0,014778325","0,003509604","-0,023553359"
''73'',"0,0167","0,020182223","0,009613418","-0,020275862","0,006433824","0,009543461","0,082831325","-0,006443914","0,06548913"
''74'',"0,0032","-0,009626698","0,009856207","0,058013383","-0,011904762","-0,003104787","0,019607843","-0,004796163","0,016042781"
''75'',"0,009","0,015842939","-0,005498235","0,016421725","0,000185977","0,002580645","0,005754551","0,027881388","-0,068571429"
''76'',"-0,0064","-0,053510037","0,004594595","-0,029266689","-0,053693906","0,073409852","0,000616179","0,002418605","0,017957351"
''77'',"0,0026","0,011239651","0,013004335","0,031528662","-0,012700933","-0,004322767","-0,000645938","-0,008963349","-0,019742489"
''78'',"0,0047","0,00545286","0,008595041","-0,007120405","-0,016132285","0,020004707","-0,010982813","0,013289498","-0,069461444"
''79'',"0,0016","0,014562063","0,004934211","-0,028569543","-0,031835206","0,025458716","0,020269877","-0,004652028","0,001222494"
''80'',"-0,0165","-0,016939891","0,048155802","-0,006909381","0,002904564","0,036464088","0,029932011","0,057854137","0,026190476"
''81'',"-0,0056","-0,007376417","-0,028532784","-0,017645866","-0,004375912","-0,023755656","-0,025250188","0,004233405","0,036973345"
''82'',"-0,0001","0,016725304","-0,011861314","-0,013082192","0,028739122","0,011185682","0,009766576","-0,038902743","0,036187845"
''83'',"0,0318","0,004150496","0,022675159","0,032664149","0,031176471","0,024017467","0,027870587","-0,033795819","0,05974026"
''84'',"-0,0053","0,025527892","0,005447865","0,017574692","0,029864942","0,041841004","0,043540785","0,003084112","-0,069444444"
''85'',"0,0154","0,013063764","-0,028403909","0,02624073","-0,001714939","0,012804626","-0,000932935","-0,039389966","-0,008685906"
''86'',"0,0053","0,019866877","-0,001304631","-0,008501662","0,047377019","0,035458167","0,029340233","0,013747844","-0,014496873"
''87'',"0,0099","0,009910454","-0,015231788","0,009058086","0,018703242","0,015300118","-0,027106032","0,029474663","0,049189189"
''88'',"0,0176","0,100542986","0,038400306","-0,011987179","0,064333333","0,03538316","0,012543298","-0,01066579","0,018567639"
''89'',"0,0053","-0,035080324","0,064295078","-0,013447671","-0,038062284","-0,020467272","-0,001550632","-0,068209195","-0,02585034"
''90'',"0,018","-0,031100594","-0,004609398","-0,00136612","-0,009254409","0,002119461","0,01684711","0,024624272","0,02"
''91'',"-0,0156","-0,0299428","-0,022150156","-0,024390244","-0,005972247","-0,017248138","0,003809622","0,040895859",0
''92'',"0,005","-0,000547427","0,002745912","0,004511079","0,003849519","0,034626301","-0,001701777","-0,048387891","0,048947502"
''93'',"0,0242","0,010196542","0,029491887","0,020278175","0,004355401","0,039090909","0,000438144","-0,028607595","-0,005354411"
''94'',"-0,017","-0,00495025","-0,00649699","-0,014171775","0,001912711","0,086378738","-0,039294994","0,026901853","0,049903101"
''95'',"0,0136","-0,013343366","0,018888889","-0,034151329","-0,017876106","-0,050244243","-0,018080175","-0,020925553","-0,000484731"
''96'',"-0,0045","-0,07148616","-0,048693732","0,018729097","-0,05963991","0,015965665","0,00730915","0,018029143","-0,030212235"
''97'',"-0,0048","0,003374759","-0,029419192","-0,042829241","-0,006037736","0,004103266","-0,010974575","-0,033119004","0,036796537"
''98'',"0,013","0,021182886","-0,028771839","0,004997224","0,003759398","0,017470183","0,015784512","0,02990099","-0,012171373"
''99'',"0,008","-0,028029323","-0,000454841","-0,003482379","-0,007575758","-0,01001018","0,002016129",0,"0,010120482"
''101'',"-0,0228","0,033649338","0,006391633","0,019931741","0,024930748","0,007744108",0,"0,017605291","0,005034764"
''102'',"0,0017","-0,050046491","-0,000775344","-0,029876977","-0,006879881","-0,001686341","-0,002695418","0,002086872","-0,003367813"
''103'',"-0,0018","0,006088611","-0,001747573","0,005244755","0,02466449","-0,013675214","0,02617004","-0,018889383","0,038843931"
''104'',"0,0027","0,021282256","0,011136713","0,046603107","0,00916442","0,031456954","-0,043296089","0,035760263","0,011428571"
''105'',"-0,0038","0,009799273","0,026723977","0,0415362","0,015218545","0,041269841","0,03651715","0,004698178","0,004550626"
''106'',"-0,0118","0,040976152","0,010417951","0,020958458","-0,006411398","0,019302615","0,001790982","-0,018807716","0,05075594"
''107'',"0,0176","0,00592667","0,003746238","0,02927244","0,014912281","0,019835215","0,025537048","0,032464799","0,013003624"
''108'',"0,0155","-0,023387304","0,008343484","0,021569909","-0,022972003","0,024992562","0,01344508","0,027832098","0,087354086"
''109'',"-0,0096","-0,008972098","-0,017978921","-0,024347191","0,000538117","0,010014728","-0,034605611","0,003715282","0,009061114"
''110'',"-0,0094","0,063207501","0,034594206","0,006170226","0,055084746","-0,006820878","0,031142132","-0,002634807","-0,047878788"
''111'',"-0,0134","0,007856936","-0,031867589","-0,030932336","0,002367264","-0,058712716","-0,018087855","0,047427409","-0,024208566"
''112'',"0,0231","-0,010373545","0,024343215","0,023209064","-0,024424043","0,016975309","0,045387272","-0,024380513","-0,002697095"
''113'',"0,0127","-0,003764177","0,014723344","0,006716282","-0,005749129","0,003230272","0,019707411","0,048544918","0,01026694"
''114'',"0,0002","-0,059896373","-0,005972289","-0,017046154","-0,055341055","-0,083319447","-0,003615978","-0,045644983","0,021105528"
''115'',"0,0071","-0,007359466","0,013317619","0,011256465","-0,020833333","0,016229508","0,042389031","0,086679824","0,076137419"
''116'',"0,0057","-0,039498671","0,01256837","0,018219833","-0,014470678","-0,042556828","0,041648107","0,02623941","-0,023375143"
''117'',"0,0157","-0,00348451","0,010763829","0,028382379","-0,016844143","-0,001883562","0,002222222","-0,005997475","-0,034401415"
''118'',"0,0211","0,016387297","0,012897727","0,030608226","0,036380597","0,042936742","-0,003568243","-0,007553471","-0,035205535"
''119'',"-0,0205","-0,015057621","5,68E-05","-0,029602595","-0,015151515","0,012621359","-0,016780045","0,011125526","-0,015708971"
''120'',"0,0126","0,015361559","0,003792167","0,020373418","0,008636876","0,017488076","0,00543515","-0,022346369","0,027537688"
''121'',"0,0126","0,03427065","0,00741573","0,01005618","0,039495041","0,021772939","0,054441933","-0,001247485","0,089161479"
''122'',"-0,0041","0,008660005","0,003526843","0,001570563","0,005381166","0,010617018","0,00445822","0,00016094","0,017449182"
''123'',"0,0015","-0,017890674","-0,020742857","-0,031354854","-0,012715713","-0,022981269","0,014993413","0,013025177","-0,022815087"
''124'',"-0,0084","-0,036772658","0,00245112","-0,008518086","-0,032833021","-0,010497853","-0,028939668","-0,037662766","-0,051664087"
''125'',"0,0049","-0,0157649","-0,005329513","0,020459481","-0,007942511","-0,002711324","0,015464136","-0,067382125","-0,02763969"
''126'',"-0,0087","-0,007861374","-0,022860492","0,005795455","-0,005705591","0,002703992","-0,003486246","-0,002336552","-0,006806807"
''127'',"0,0004","0,03085095","0,021732898","-0,030746706","0,023946538","0,004433888","0,011618868","-0,001987808","-0,019387755"
''128'',"-0,0139","-0,033377689","0,017521127","-0,013353116","-0,005600149","-0,003177125","-0,051916191","0,075660447","-0,020620704"
''129'',"0,0082","0,018982866","-0,002145438","-0,003872505","0,024225865","-0,005751718","0,007676112","0,009504166","0,017798691"
''130'',"0,0073","-0,023207925","0,007731092","0,027745598","-0,058415269","0,004136834","-0,000438827","0,010247378","0,031695721"
''131'',"-0,0303","0,004542936","-0,000504456","-0,00372093","0,010869565","0,011947807","-0,007716629","0,013232216","0,012905749"
''132'',"-0,0215","0,004137931","0,007454798","-0,045592705","0,044982699","0,01379845","-0,04406944","-0,070622066","0,002924547"
''133'',"-0,0156","-0,009861823","-0,012676056","0,024028478","0,009559885","-0,015748031","-0,003381822","-0,092240185","0,012704524"
''134'',"-0,0045","-0,043488372","-0,026011561","-0,030193753","-0,029335314","-0,056220892","-0,005285831","-0,04106559","0,029334828"
''135'',"-0,0129","0,001799083","-0,017288016","-0,001714321","0,001668211","-0,049947607","-0,001866325","-0,008535403","0,003351955"
''136'',"-0,0048","-0,036077205","-0,03695122","-0,024719242","-0,008411215","-0,010232886","0,00339448","0,081923419","-0,009398496"
''137'',"0,0234","0,007696897","0,02409997","0,03106383","0,013279233","0,04369833","0,030038563","-0,029897285","0,045397452"
''138'',"-0,0136","0,002618424","-0,007796102","0,01502904","0,009861213","0,015284931","-0,003257992","-0,032038238","-0,049331576"
''139'',"-0,0085","0,018515274","0,004537043","-0,021093177","-0,01219963","-0,001330893","0,004975236","-0,020328344","0,033133078"
''140'',"-0,0306","-0,014637904","-0,015273653","-0,017670483","-0,000925069","-0,065969143","-0,035431235","0,013856483","0,035130862"
''141'',"-0,0149","-0,029907227","-0,003894128","0,014954646","-0,025422121","0,025237684","-0,0136093","-0,041406327","0,011460323"
''142'',"-0,0072","0,019215804","-0,035928144","-0,054413855","-0,000569476","-0,020282187","-0,023654042","-0,014131255","-0,062154187"
''143'',"0,0045","-0,007903946","-0,01354373","-0,01329317","0,006037736","-0,021989906","-0,028507463","0,034661877","-0,011378474"
''144'',"0,001","0,020854257","0,020585659","0,014265427","0,017972948","0,009285714","-0,009872635","-0,004486273","-0,013038549"
''145'',"0,0226","-0,037066536","0,019509202","0,018250951","-0,023904382","-0,00232683","0,053498823","-0,025914253","-0,047920792"
''146'',"0,007","0,001468249","-0,012359481","0,009913414","-0,020918071","0,011150442","0,015842187","-0,012870535","0,0029615"
''147'',"-0,0158","0,018435117","-0,00474259","-0,027926475","-0,000969368","-0,038984921","-0,024697871","-0,014392187","-0,041109969"
''148'',"0,0062","0,007450232","-0,002188868","0,001481195","0,016962074","0,011272727","0,018867925","-0,019119958","-0,020986359"
''149'',"-0,0217","0,010964395","-0,001816929","0,002889617","0,041643836","-0,019840534","0,019401573","0,010880829","-0,008038925"
''150'',"-0,0049","0,009921793","0,014448904","-0,005682919","0,013691227","0,002404735","-0,005147826","-0,003066369","-0,05301849"
''151'',"0,0162","-0,0321065","0,010388023","0,039987601","-0,009456265","-0,010089686","0,024387485","-0,045252064","0,038140133"
''152'',"0,0037","-0,007831472","-0,006333784","-0,000310078","-0,009361233","-0,011720227","0,022878996","-0,045909091","0,023640167"
''153'',"0,0246","0,041322314","0,021658044","0,026268116","0,042194093","0,057040998","0,006216911","-0,026179232","-0,031951641"
''154'',"-0,0222","0,016485404","-0,020130109","0,018084791","0,025359836","0,027729636","-0,00035161","0,019102088","-0,001297017"
''155'',"0,0058","0,028418887","0,014515544","0,01374269","0,043435502","-0,01584507","-0,000439705","0,074671888","0,006656646"
''156'',"-0,0275","0,076381755","-0,002364353","-0,006592889","0,067695599","0,020689655","-0,028979278","0,004530608","-0,003880147"
''157'',"0,0042","0,034804165","0,016984505","-0,022511135","0,038354151","0,008547009","-0,005276085","-0,044516591","0,001506672"
''158'',"0,0261","0,032149712","-0,009566211","0,005387931","0,047719004","0,008474576","-0,002142304","-0,038101222","-0,002805957"
''159'',"0,0072","0,040515654","0,030223467","0,000359066","0,059736842","0,046079224","0,000728763","-0,020996151","0,017391304"
''160'',"0,0165","0,013892672","0,004992743","0,01879037","-0,012658228","0,02444795","0,016903616","-0,015938852","0,065596512"
''161'',"0,0245","0,012773968","0,026561175","0,011205946","0,009502442","0,032061069","0,024781659","0,004365524","0,013875318"
''162'',"0,0008","-0,048942172","-0,018241455","-0,022743468","-0,033697135","-0,015976423","0,004672389","0,04328931","-0,028542714"
''163'',"0,0204","-0,001789751","0,020957746","0,017846728","-0,003284971","0,028920018","0,0361736","-0,066706803","0,050028642"
''164'',"0,0114","0,057612073","-0,005096263","-0,001284747","0,044592651","0,018625277","0,005851363","0,113471392","-0,014529252"
''165'',"0,0236","0,017272965","0,031798246","0,042656678","0,002478476","0,022398844","0,027283776","-0,037948036","-0,001163693"
''166'',"-0,0161","0,035506942","-0,006789204","-0,037649379","0,017179487","-0,001447178","-0,03895284","-0,000221643","-0,0222046"
''167'',"-0,0006","-0,057102197","-0,012122905","-0,001336044","-0,061946903","0,003173687","0,020044957","-0,015131061","-0,015706806"
''168'',"-0,0117","0,001332386","-0,012443439","0,00960764","0,004472757","-0,026962963","-0,023578334","-0,006795787","0,09263658"
''169'',"0,0023","0,069548328","-0,00488803","-0,008236659","0,035303347","0,013157895","0,025967885","0,002654617","-0,048467433"
''170'',"0,0052",0,"0,013457441","0,041316799","0,007912829","-0,004405286","-0,007958054","0,031772941","-0,013592233"
''171'',"0,0146","0,034164837","0,020056047","-0,004636872","0,022444839","0,006709452","0,013594178","-0,020196385","-0,01980198"
''172'',"0,0014","-0,004973727","0,026635289","-0,00280112","0,014865709","0,047910012","0,032629331","-0,012197877","-0,035684988"
''173'',"-0,0026","-0,010047401","-0,014762551","-0,002808989","-0,043540607","-0,046961326","-0,010430404","0,050509383","-0,070942236"
''174'',"0,0003","0,025311957","-0,006610577","-0,022694628","-0,00026079","-0,003794513","-0,006495988","-0,003335485","0,05323352"
''175'',"0,0157","0,003031377","-0,004775759","-0,011977441","0,000781759","0,017634409","0,004305339","0,010170936","-0,024717665"
''176'',"0,0024","-0,072722666","0,04136189","0,007788162","-0,048497268","0,003144205","0,038525963","0,001117021","0,043221203"
''177'',"-0,0055","0,033273455","-0,010744109","-0,014277355","0,002588909","0,045950368","-0,002896368","-0,031493471","0,03501869"
''178'',"-0,0245","0,02024","-0,002292355","-0,013822151","0,001768226","0,006098387","0,003252627","0,042902904","0,007226563"
''179'',"-0,0127","0,004380725","-0,025083338","-0,002736304","0,001086957","-0,007922415","-0,020745747","-0,043623609","0,044776119"
''180'',"-0,0212","-0,014832478","-0,045597394","-0,01185747","-0,023217017","-0,011187845","-0,07916384","-0,024939617","0,056836178"
''181'',"0,0054","0,025405703","0,039725652","0,024542039","0,031506665","0,032732131","0,027463918","-0,020638652","-0,082063976"
''182'',"-0,0136","-0,01163532","-0,020779657","-0,007929933","-0,012680665","-0,025342466","-0,011343732","0,01060692","0,016479401"
''183'',"0,004","0,018921032","0,006621043","-0,003861463","0,048150552","0,029900332",0,"-0,043071826","-0,046853558"
''184'',"-0,01","-0,008714855","-0,022296798","-0,004955224","-0,035479102","-0,014150943","-0,017137524","-0,013005694","-0,004529342"
''185'',"0,0093","-0,004555538","-0,009821941","0,00309487","-0,030466694","-0,026279391","-0,012454905","-0,016076975","0,020258538"
''186'',"0,0089","0,003119694","0,038121547","0,009374447","0,007559098","0,020723283","0,03709524","-0,014456045","0,022259951"
''187'',"0,0012","-0,00102779","-0,012077835","-0,002423168","0,004378763","0,008194519","-0,026445369","0,056481697","-0,050951626"
''188'',"0,001","0,002720177","0,008867213","-0,011538232","0,005714286","-0,061911555","0,007729082","0,000757179","0,002176063"
''189'',"-0,006","0,033013114","0,016354121","0,025346696","0,030982202","0,040383299","0,017464357","-0,042504099","0,015771028"
''190'',"0,0253","0,018410418","0,008432432","0,016842346","0,028809219","-0,019112723","-0,0068125","0,020110668","0,026350711"
''191'',"-0,0024","0,000299267","-0,003036218","0,016729567","-0,008652977","0,003059805","0,0209077","-0,021702128","-0,018143216"
''192'',"0,0082","-0,007765965","-0,00941331","0,004541886","-0,010967489","0,021768707","-0,030153394","0,011358856","-0,064078866"
''193'',"-0,035","-0,002873346","-0,031616983","-0,027777778","0,00286421","0,012892828","-0,032164313","0,009406442","0,028531524"
''194'',"0,0102","0,004778568","0,026224641","-0,007665505","0,002078732","-0,004587156","0,034873255","-0,005748159","0,040398239"
''195'',"-0,0341","-0,006018624","-0,022198494","-0,014672088","-0,010370176","0,001750842","0,000920175","0,028785764","-0,009860789"
''196'',"-0,0027","0,011746222","0,010509926","0,008992701","0,018425461","0,045875096","0,016111111","-0,010222066","-0,004271845"
''197'',"-0,0271","0,003318295","-0,014498477","-0,011279084","0,025612053","-0,000257069","0,024037593","0,006246716","0,045412419"
''198'',"-0,0181","-0,05669372","0,003877494","-0,011891246","-0,047475013","-0,009471909","-0,045211259","-0,02495213","0,049841493"
''199'',"-0,0262","0,035418408","-0,048121098","-0,057036382","-0,012247071","-0,019040063","-0,051930847","0,070005565","-0,014290818"
''200'',"-0,0171","0,068465024","-0,014702367","-0,028719948","0,050436102","-0,014759157","-0,043571429","-0,07168416","-0,016893733"
''201'',"-0,0229","0,055282432","-0,025119471","-0,016579695","0,075277615","0,009831274","-0,037334481","0,054791432","0,02011392"
''202'',"0,0019","0,020923379","0,007781155","-0,013252125","0,017908392","0,014790576","0,017010479","-0,033498398","-0,00393138"
''203'',"-0,0029","0,045654823","-0,005993151","-0,03340711","0,041166758","0,031071655","-0,039009862","0,058006805","-0,025096171"
''204'',"0,0282","-0,057954245","0,025622691","0,018065743","-0,034031414","-0,033420708","0,049713504","-0,033813684","0,01140891"
''205'',"-0,0031","0,047637039","0,004035608","-0,008493151","0,062826667","0,00157027","0,018153243","-0,05715828","-0,01957164"
''206'',"0,0052","-0,085697682","-0,009042458","-0,001440428","-0,11236355","-0,038033143","0,032290771","-0,013617849","0,01473531"
''207'',"-0,047","0,056322581","-0,041019887","-0,060753783","0,060214095","0,011812081","-0,093334297","-0,094192776","-0,002187785"
''208'',"-0,0361","0,003279532","-0,053734481","-0,006665202","-0,108118127","-0,026170799","-0,026798307","-0,000332712","0,051038062"
''209'',"0,0032","0,01376205","0,051408275","-0,000366354","-0,016580832","-0,022535211","0,02178491","0,019380098","0,043046358"
''210'',"0,0298","-0,001492585","0,000186904","0,011515898","0,022590546","0,027264009","0,012076139","-0,006303763","-0,038871689"
''211'',"-0,0049","0,035558959","0,022770167","-0,005974499","0,048814668","0,006803647","-0,001652734","0,007753453","-0,01183432"
''212'',"-0,0145","0,001529052","-0,01020973","-0,020749665","0,031444407","0,031752306","-0,049207107","0,001626228","0,002949853"
''213'',"-0,0214","0,008219344","-0,039378636","-0,00305856","-0,01573989","0,000789889","-0,027182611","0,09035503","0,012339332"
''214'',"0,0032","0,02006182","-0,003592738","-0,044735406","0,026071389","-0,001978631","-0,004433842","0,002891026","0,013691684"
''215'',0,"0,030290803","0,019747186","0,007349528","0,037997847","0,05826087","-0,006577059","0,00458096","-0,004584819"
''216'',"0,0168","0,003188922","-0,012222293","-0,003571429","-0,008248318","-0,004492139","-0,024465241","0,009827867","0,00941968"
''217'',"0,0087","0,023810192","0,024285714","0,036288814","-0,006994536","0,039088729","0,002027965","-0,011886548","0,009166667"
''218'',"0,0115","-0,034976199","-0,001804493","-0,011350738","-0,01127321","0,007142857","0,007363458","0,036730529","0,048676074"
''219'',"0,0116","0,004680187","0,030173194","0,029521921","0,004182258","0,028340081","0,039289531","0,001245471","-0,005901116"
''220'',"-0,0011","-0,006513521","0,001085056","-0,012717537","-0,0234287","0,008487212","0,029679012","-0,001644457","0,008695652"
''221'',"-0,0117","0,025447744","-0,008388548","-0,00621118","0,014650388","-0,009727852","-0,030980322","-0,008232805","0,010791367"
''222'',"0,0116","-0,053656206","-0,002742899","-0,013423328","-0,066272189",0,"0,013485686","-0,052090226","-0,033624313"
''223'',"0,0169","-0,029288832","0,023452381","0,023331605","-0,036809816","-0,008761682","0,030648263","0,03873952","0,003383277"
